,text,label,span
idx,,,
8b22c306-08ec-4485-a2e9-0885d8281e6f,"Mit einem kurzen Zwischenstopp bei einem kleinen unscheinbaren Leuchtturm mit großartigem Blick zum Farewell Spit (26 km langer Sandstrand/sehr großes und international bedeutendes Vogelreservoir, deswegen nur mit Genehmigung zugänglich) fuhren wir zum Wharariki Beach.",web2,"[31, 34]"
bba83721-9eb0-43fd-9a9e-829bcea19a3f,Nicht so bei unserer nächsten Station.,web2,"[9, 12]"
205b3a73-eb24-4001-abbd-b97c4a7bf01d,"Es war ein sehr schöner Weg den wir entlang gingen und bei dem auch eine Hängebrücke überquert werden muss, die jeweils nur von 1 Person betreten werden kann und darf.",web2,"[55, 58]"
845290b3-b456-44c8-afbe-661dcb0e0225,"Auf dem Rückweg zum Auto gingen wir noch zu einem wunderschönen Lookout, bei dem auch wieder “Bergsteigen” gefragt war.",web2,"[73, 76]"
0695c989-95d1-4224-ae4e-cd867784c60e,"Bei uns war es definitiv so, v.a. weil wir auch hier zusammen mit der Familie Rogers waren (inkl. Melody und ihrem Bekannten Andrew aus den USA)!",web2,"[0, 3]"
cbbb141f-dd59-46ba-96af-911b287c9265,"Aber zumindest bei den Lebkuchen, nach paar Anfangsschwierigkeiten, hat es sich gelohnt.",web2,"[15, 18]"
40ceb55f-121f-4133-a4aa-4a43c1887fc1,Es ging bei etwa 25 Grad Außentemperatur und strahlend blauem Himmel in den Pool :-D der selbst ca. 20 Grad warm war.,web2,"[8, 11]"
06c0b2ce-a45e-4474-bbbd-bb9ef11834af,"Zwar 1 Tag später als bei uns in Deutschland üblich, im Sommer und dann noch soweit weg von zu Hause :-\ Wir waren sehr froh, das Angebot von Linda erhalten und angenommen zu haben.",web2,"[22, 25]"
772eadf3-16b5-41fe-b1da-7a52d472c726,"Trotz allem, im Vergleich zum 2011 habe ich ein Minus von ca. 5% bei der Zeit und denn zurückgelegten km, war es ein gutes Sportjahr.",web2,"[65, 68]"
7aa276df-da19-470c-a228-ac70752ee5d5,Ich möchte an dieser Stelle bei meinen LeserInnen recht herzlich bedanken.,web2,"[28, 31]"
47ed695a-06f1-44d2-a028-d78a2f5ba304,"Trink Salbeitee, soll bei Zahnweh helfen hörte ich mal…",web2,"[9, 12]"
c3ace17a-0ae1-4af6-9a5d-105d2ce78e34,6. Ich möchte ruhiger und gelassener werden und nicht bei jeder Kleinigkeit an die Decke gehen;),web2,"[54, 57]"
b9be60ce-40ab-4b9f-80d2-0bd4d138bf20,"Rund um den Hund kann man bei Schecker.de einkaufen, es gibt alles, was ein Hundebesitzer braucht.",web2,"[26, 29]"
1da7ad1e-7160-44cb-b15c-630981f0585d,"Beispiel: Bei einem monatlichen Arbeitsentgelt von 450 beträgt der RV-Beitrag (450 x 18,9 % =) 85,05 .",web2,"[34, 37]"
c0bfc802-445a-4631-86d7-997750e6fc0f,"Bei einem monatlichen Arbeitsentgelt von 150 beträgt der RV-Mindestbeitrag (175 x 18,9 % =) 33,08 . Entsprechend übernimmt der Arbeitgeber (150 x 15 % =) 22,50 .",web2,"[24, 27]"
