,text,label,span
idx,,,
e56d1e46-0d77-4047-a8b8-e7a6edf205ef,Palma de Mallorca Urlaub auf der Quarantänestation statt am Strand und im Hotel – viele Menschen blicken aktuell mit Sorge auf ihren geplanten Urlaub.,corona,"[18, 24]"
24328c36-2b6a-4b24-bcd9-5037f9b3faa6,Palma de Mallorca Urlaub auf der Quarantänestation statt am Strand und im Hotel – viele Menschen blicken aktuell mit Sorge auf ihren geplanten Urlaub.,corona,"[18, 24]"
635dc20e-a494-43b0-b69e-34d103d2ad3c,Warum wir keinen Urlaub nehmen?,corona,"[17, 23]"
ad4649c4-b944-4135-8937-db74b65f2ff4,"Mit den zunehmenden Lockerungen der Corona-Beschränkungen hoffen immer mehr Bundesbürger darauf, im Sommer trotz der Coronavirus-Pandemie in den Urlaub fahren zu können.",corona,"[145, 151]"
a951ff52-1fc9-4ac3-8d50-fdcc87258e8c,"""Mir wäre lieber, wir würden ein einheitliches Übereinkommen auf europäischer Ebene haben: keine Skilifte offen überall beziehungsweise kein Urlaub überall.""",corona,"[141, 147]"
88ae3bbf-dfd6-4ca8-8017-e15908d9f652,"Versorgt werden können sie dort kaum noch, da sich Krankenschwestern mangels Schutzkleidung – sie mussten aus Mangel an Sicherheitsware teilweise Müllsäcke statt Kitteln umbinden – reihenweise in den Urlaub verabschiedeten.",corona,"[200, 206]"
3154de5b-6c34-4186-90e0-21bd0039c8bf,"Bei American Airlines würden 19.000 Mitarbeiter in den Urlaub geschickt, bei United seien es wahrscheinlich 12.000, kündigten die Fluggesellschaften am Mittwoch an, nachdem Abgeordnete und das Weiße Haus sich nicht auf ein Corona-Hilfspaket einigen konnten, das auch Bundeshilfen für Fluggesellschaften vorgesehen hätte.",corona,"[55, 61]"
8c720bfe-c2c9-41d4-a0d9-7e37c5eeca9b,Das gilt auch und gerade im Urlaub.“,corona,"[28, 34]"
b6dfa263-fdc6-4b99-aa1e-19af761ad73c,"Seit die Bundesregierung entschieden hat, die Reisewarnung für Mitgliedstaaten der Europäischen Union ab dem 15. Juni aufzuheben, nehmen die Buchungszahlen für Urlaube am Mittelmeer zu.",corona,"[160, 166]"
8795e711-321c-454a-8e3b-a8c22ed100d8,Die überwiegende Zahl aber bangt um ihren Urlaub.,corona,"[42, 48]"
0dad574c-886a-46a7-a258-f5da6b2b8ad0,"Berlin Die Chancen auf Urlaub am Mittelmeer steigen: Bundesaußenminister Heiko Maas verständigte sich am Montag mit seinen Kollegen aus zehn der beliebtesten Urlaubsländer der Deutschen darauf, auf eine Öffnung der Grenzen für Touristen bis zum Sommerbeginn hinzuarbeiten.",corona,"[23, 29]"
7dff8520-52de-424f-91fe-d154222e94a1,"Deutschland und die Urlaubsländer haben noch ein Stück Arbeit vor sich, bevor der Startschuss für den Urlaub gegeben werden kann.",corona,"[20, 26]"
42eaf570-d076-4225-8891-9e778cd17fc7,"In Großbritannien liegt der Wert bei 13. Warum also sollten sich Briten daheim in Quarantäne begeben, wenn sie auf den Kanaren ihren Urlaub verbracht haben?",corona,"[133, 139]"
cc7ab2f3-6d14-4b9a-abaf-125345f02513,"Börsianer befürchten, dass viele Chinesen nun ihre geplanten Reisen zu Verwandten oder in den Urlaub absagen.",corona,"[94, 100]"
befbe01d-c264-4fde-bde6-a1b742c471f5,"Immer mehr Einreisesperren unzähliger Länder hindern Millionen von Menschen ohnehin daran, den geplanten Urlaub überhaupt erst anzutreten.",corona,"[105, 111]"
b37c8cf8-01a1-4fbc-84be-2cff1ce8393e,"Stand Mittwoch warteten 44.000 Reiserückkehrer, die im Ausland im Urlaub waren, nach Corona-Tests an den Autobahnen noch auf ihre Ergebnisse.",corona,"[66, 72]"
ae0d2721-608b-490a-870a-8d493a70fbc4,"Das kann nach bisherigen Erfahrungen bis zu 36 Stunden dauern – eine lange Zeit, wenn man Urlaub machen möchte.",corona,"[90, 96]"
6e053e82-5c10-4aab-8f95-582e52a70cac,"Wer trotzdem Urlaub in Niedersachen machen möchte, muss einen negativen Coronatest vorweisen, der nicht älter als 48 Stunden ist.",corona,"[13, 19]"
eb30223f-b30e-40c5-a167-be72624d8d35,Urlaub,corona,"[0, 6]"
37a31cf6-063b-4f62-ae26-49cab110039e,"In einer am Montag veröffentlichten Untersuchung mit dem Titel „Urlaub in der Hölle“ gehen die Experten der niederländischen Bank ING davon aus, dass Reisen nach und aus China so gut wie gänzlich gestrichen werden.",corona,"[64, 70]"
5cbe56f0-2e8d-4baa-b36c-9871fbe75f78,"Weitere Optionen sind früheren Angaben zufolge unbezahlter Urlaub, Gehaltskürzungen um bis zu 20 Prozent sowie die vorübergehende Schließung von Basen in Europa.",corona,"[59, 65]"
8ffd6090-6f53-404b-b99f-6e5970ed97ba,"Disney will Mitarbeitern, die unbezahlten Urlaub nehmen, volle Gesundheitsversorgungsleistungen gewähren.",corona,"[42, 48]"
a890264e-9ab9-41b6-8691-d3745010fd50,"Dies ermöglicht es den Unternehmen, die Arbeitszeit ihrer Mitarbeiter zu reduzieren oder Urlaub zu nehmen, während die Regierung bis zu 84 Prozent ihres Nettogehalts übernimmt.",corona,"[89, 95]"
1fc568f5-2a7d-47d2-a8c4-930f33de9d9e,Einschließlich umgebuchter Urlaube aus diesem Jahr wies Ende September die Sommersaison 2021 (Mai bis Oktober) im Vergleich zum Vorjahr ein mehr als doppelt so hohes Umsatzvolumen auf.,corona,"[27, 33]"
8af2d2c6-2d8a-4d92-a243-7b9bda7774fb,"„Die Coronakrise wirkt wie ein Katalysator für einen Trend, den wir seit Jahren beobachten: den Urlaub im eigenen Land“, sagt Sebastian Fischer, Vorstand der Berliner Primus Immobilien AG.",corona,"[96, 102]"
