,text,label,span
idx,,,
21e33a8d-3628-4207-84a9-c1f31d412711,Sie schlafen länger.,corona,"[4, 12]"
f4a0b0ae-2773-4397-916a-0594c24de49b,"Keiner schläft mehr gut, alle sind Tag und Nacht beschäftigt mit der Frage, wie es weitergeht.“",corona,"[7, 14]"
36ba23ce-6611-4d60-8e57-8ba52c3493b1,"„Deutschland hat im Bildungsbereich viel zu lange geschlafen, das rächt sich jetzt“, sagte Ohoven.",corona,"[52, 60]"
dbe818f4-1ba2-4ff0-991a-b401150c2b60,Die Geflüchteten waren nach dem Brand im Lager Moria vom 8. auf den 9. September obdachlos geworden und mussten auf der Straße und in umliegenden Olivenhainen schlafen – ohne jegliche Infrastruktur wie fließendes Wasser und Toiletten.,corona,"[159, 167]"
60514cb3-27b5-41ac-86f9-b3301961c084,Konnten Sie zuletzt noch ruhig schlafen?,corona,"[31, 39]"
88b9b1c7-8f71-472e-b4d4-82c73204690a,Ich schlafe immer gut.,corona,"[4, 11]"
0eb91305-50aa-422c-bbfd-8aec10d4439b,„Die Welt schläft nicht.,corona,"[10, 17]"
e315ca5f-d186-4c27-bfaa-219f93acc831,"„Die Uhr tickt, das Virus schläft nicht“, sagte er am Mittwochnachmittag in Genf.",corona,"[26, 33]"
c3b7f6eb-6758-43ae-b749-6e55efc4f981,"Bewegung, Essen, Schlafen.",corona,"[17, 25]"
cb82044a-5343-46b1-9d2e-17b722940c9f,"Nach den jüngsten Ausschreitungen am Rande der George-Floyd-Demos hat sich die Stadt, die niemals schlief, sogar eine Ausgangssperre verordnet.",corona,"[98, 105]"
4c3d2712-075d-43bb-8f6a-93507aaf1903,"Auf die Frage, was die Unternehmen derzeit besonders schlecht schlafen lasse, antworteten 57 Prozent, dass sie einerseits Aufbruchstimmung verbreiten und Kosten sparen müssten.",corona,"[62, 70]"
2f26983b-fe8c-4e4c-a421-8fb9fe6cf233,"Diese Sorgen begleiten Michael Pawlowski, wenn er morgens aufsteht und abends schlafen geht.",corona,"[78, 86]"
c5ef342a-1044-4f19-9880-42ecf279849c,"Die Stadt, die niemals schläft, muss innehalten.",corona,"[23, 30]"
d42e51a2-095c-4fa7-ba71-1930b58feb3e,Und schlafen?,corona,"[4, 12]"
7c4e5275-47a0-496b-8279-07d6c9737ce2,"Auf einer Papp-Figur in Frankfurt (Oder) stand ""Voodoo Virus Wahn"", auf einem Plakat ""Wer in der Corona-Krise schläft, wacht in der Diktatur auf!"".",corona,"[110, 117]"
ef509587-4af0-4683-af44-a5914d397601,"Sie habe in der Nacht kaum geschlafen, sagt sie.",corona,"[29, 37]"
882709f3-cf5d-47aa-ad89-5592f1b09336,"Uneinigkeit gibt es unterdessen darüber, wo Verwandte, die zum Weihnachtsbesuch kommen, schlafen dürfen.",corona,"[88, 96]"
93b90c77-d64c-4fe4-99eb-17e8cfdc59e5,Dann schlief er ein.,corona,"[5, 12]"
ebaa16a2-d7e0-4333-9c30-877353d58f46,Der 73-Jährige schlief immer noch.,corona,"[15, 22]"
8e7c0667-c443-4699-bc47-f6ead4a42dc7,Schlaft weiter!,corona,"[0, 7]"
38ae6e53-87dc-4b94-9250-1cf8a4b9f69b,Im sonst vollen Matratzenlager war wenig los und ich habe nach einer kalten Dusche gut geschlafen.,corona,"[89, 97]"
c58e2590-ee6d-4e64-9aa6-cf03e278859a,"Bevor ich schlafe, blicke ich darüber.",corona,"[10, 17]"
9c03beda-1a00-4ed8-ac4d-286f61da5ace,"„Wir schlafen hier, weil alles nass ist.",corona,"[5, 13]"
6cc5c2a5-f5ac-4cfa-8e7a-376aea6a1053,Das heißt: im Freien schlafen.,corona,"[21, 29]"
54b57234-a689-46cd-aca5-7d5b415f7957,"Wenn andere nachts schlafen, liest er Studien: Corona-Impfstoffe, Langzeitfolgen, Immunitätszeiträume, Mehrfacherkrankungen.",corona,"[19, 27]"
8bbe6e3a-f9a2-455c-8983-8e3f60ba298d,Aber wo schlafen auf der Wandertour?,corona,"[8, 16]"
0a914bc1-d930-44d5-bf60-df785d3f0508,Dort können Reisende an den geführten Wanderungen von Tesfa Tours teilnehmen – und auch bei Gastgeberinnen und -gebern im Dorf schlafen.,corona,"[127, 135]"
a26426ea-5bb1-485c-a0e5-08820685032c,"Seinen bemerkenswerten Ausstoß an Büchern – drei allerdings sehr unterschiedlich umfangreiche in zwei Jahren – beschreibt Carsten Brosda schon mal als Ergebnis nächtlicher Schreibschübe: mal eben noch ein paar Seiten auf dem iPad, während die Gattin längst schläft – so wie größtenteils die Stadt, über deren kulturelle Angelegenheiten der Sozialdemokrat wacht.",corona,"[257, 264]"
b5e6f94b-7ccf-4f22-98e3-fa0da0edc990,"Damit Menschen jetzt nicht auf der Straße schlafen, sammeln Hamburger Geld für Hotels.",corona,"[42, 50]"
