,text,label,span
idx,,,
c7bdd39c-1228-4052-b479-d14f7558c702,"Unterbezahlung, Ausbeutung, Ungleichheit und Exklusion sind also nicht wenigersystemrelevantals die Berufsgruppen, die im Zeichen des Virus so bezeichnet werden.",corona,"[134, 139]"
0db445fe-f0eb-46b1-ab42-b5aab0481ff8,"Grundsätzlich muss man sich auch bewusstmachen, dass weltweit bereits jeweils wesentlich mehr Leute mit dem Coronavirus infiziert sind, als in der Datenbank erfasst sind, da viele Infizierte gar nie auf das Virus getestet werden.",corona,"[207, 212]"
83db7419-88ee-44e8-97be-7a55c1daa11c,"Dadurch habe man einen Ansatzpunkt zur Bekämpfung des Virus gefunden, so Pöhlmann weiter.",corona,"[54, 59]"
df054a10-ab0c-4106-acd5-a38a45183ccf,"Das Virus verlangt nach sofortigen Entscheidungen und ermöglicht zugleich eine ungeahnte Machtfülle – ein Trend, der sich ohnehin schon seit Jahren abzeichnet.",corona,"[4, 9]"
55b3104c-aa9d-4a63-ac50-1fec50c9f734,"Die Abgeordneten unterstreichen ferner die Notwendigkeit eines Ansatzes für die Zeit nach der Ausgangssperre in der EU, um ein erneutes Aufflammen des Virus zu vermeiden.",corona,"[151, 156]"
639fe59b-b8ae-4873-9e6f-a2eb9d1b4dc4,Denn für das Ozonloch und alle von uns verursachten Schäden haben Viren nichts übrig.,corona,"[66, 71]"
8770c4f5-4d4e-4b0a-9e38-c829cfd45c42,"Wie oft sie das Virus weitergeben, ist allerdings immer noch schwer zu beziffern.",corona,"[16, 21]"
4f99366d-aeb3-46b7-8259-0b1144e174bd,"Auf demokratischer Seite hat Spitzenkandidat Biden erklärt, er wolle das Virus nicht politisieren.",corona,"[73, 78]"
1bc6514e-84ca-4154-825e-6b45feeabbef,Börse - Deutsche Aktien trotz Virus so teuer wie seit 15 Jahren nicht https://t.co/M6a9O3oUpF pic.twitter.com/c7oP29MheN,corona,"[30, 35]"
dcdb12a7-53b8-47b9-8865-5c1e168eb82d,"Eine Frau kam ins Krankenhaus und wurde dort positiv getestet, verstarb später an dem Virus, wie der Totenschein aussagt.",corona,"[86, 91]"
512878f9-1a4a-438a-abc8-643993db09de,"Wenn sich die Eiweiße des Virus jedoch durch Mutationen verändern, sind die Antikörper nicht mehr passgenau und könnten dadurch weniger effektiv sein.",corona,"[26, 31]"
75365027-d6bd-41ee-ab40-dd59714d3cdf,"Ein Laissez faire et laissez passer- Ansatz würde, weil das Virus doch in sehr vielen Fällen eine schwere Erkrankung produziert, die besondere Risikogruppen zudem verstärkt trifft, sofort zu einer massiven Überlastung unseres Gesundheitssystems führen und ein Vielzahl an Toten, in recht kurzer Zeit, produzieren.",corona,"[60, 65]"
817cc548-cdf4-4573-9626-bbbba5b98bf5,"Weiterhin helfe „der Dreiklang aus ,Abstand halten, auf Hygiene achten, Alltagsmasken tragen‘, um es dem Virus möglichst schwer zu machen"", sagte der Gesundheitsminister.",corona,"[105, 110]"
88d619a6-8117-4b38-a5cf-e47acd3c975b,"Bei Infizierten, bei denen sich das Virus noch in der Inkubation befinde, trete hingegen noch kein Fieber auf.",corona,"[36, 41]"
7a478a63-074f-4a90-ade3-ed69c9e068d1,"Das Virus verbreite sich „recht schnell und wie erwartet“, berichtete RKI-Vizepräsident Schaade.",corona,"[4, 9]"
