,text,label,span
idx,,,
28558558-ee96-4e2f-8e27-23b366800ee5,Die ersten 1500 Tiere sollen nach Unternehmensangaben am Mittwoch in einer zweiten Testphase geschlachtet werden.,corona,"[16, 20]"
0d8be83e-8602-4c78-8537-75ce87559980,„Weniger Artenvielfalt bedeutet mehr Tiere einer Art im selben Lebensraum.,corona,"[37, 41]"
749ee249-779e-466d-8ebd-5d8a082880ca,"Covid-19 ist eine sogenannte Zoonose – also eine Infektion, die zwischen Menschen und Tieren übertragen werden kann.",corona,"[86, 90]"
003c0c1a-850c-4827-9f0d-1a5eec8d00a2,Für die Keulung der Tiere fehlte die notwendige rechtliche Grundlage.,corona,"[20, 24]"
0a91c4a2-936f-4c75-9981-8501515cecfa,"Am 5. November hatte die Regierung beschlossen, dass sämtliche Tiere auf den über 1000 Nerzfarmen in Dänemark getötet werden müssen.",corona,"[63, 67]"
45583d9b-c0f3-4463-9dcb-8819be237abc,"Sie fürchtete, dass das Virus vom Tier auf den Menschen übertragen werden kann.",corona,"[34, 38]"
bd325bb6-ef7b-4e59-a6f6-2d9d3f7d30f6,Entsprechend schnell beschloss die Regierung die Tötung der Tiere – und verzichtete dabei auf eine rechtliche Prüfung.,corona,"[60, 64]"
cd8151a0-c9a6-4476-a2de-6859544976d6,"Schnell stellte sich heraus, dass die Regierung allenfalls ein Mandat für die Keulung von infizierten Tieren gehabt hat, nicht aber für die Tötung sämtlicher Nerze.",corona,"[102, 106]"
c7a09aa1-0de1-47a6-9a20-7228b2726a94,"Doch obwohl sich die Regierung Anfang dieser Woche mithilfe von Stimmen der linken Oppositionsparteien die Mehrheit für ein neues Gesetz beschaffte, das die Tötung auch von nichtinfizierten Tieren erlaubt, konnte sich Jensen nicht mehr halten.",corona,"[190, 194]"
593d1317-0db6-45dd-a777-6888f96aaf49,"Alle Züchter, die bis Ende dieser Woche ihre Tiere getötet haben, erhalten eine Bonuszahlung.",corona,"[45, 49]"
876a75ea-d154-44db-a94b-67b264a05176,"Bis unter die Decke türmen sich bei Eisenbahn Dörfler in Nürnberg nostalgische Dampflokomotiven, moderne ICE-Züge, unzählige Häuser, Figürchen und winzige Tiere. 10.000 verschiedene Produkte hat das Traditionsgeschäft in der Innenstadt zu bieten, das in diesem Jahr sein 100-jähriges Bestehen feiert.",corona,"[155, 159]"
9386248a-8593-46fe-a7ba-6e534b65cde5,"Die Anbieter Bird, Lime, Tier und Voi standen nach der Winterpause bereit, eigentlich mussten nur noch die Menschen aus ihren Häusern kommen und die warmen Tage genießen.",corona,"[25, 29]"
