,text,label,span
idx,,,
61ae371b-65c5-4a47-83e1-f129090ccaec,"Ich lerne Unechtes und Masken zu erkennen, abzulegen und hinter der Maske ungeschminkt die unverwechselbare Person zu sehen: Dich und mich.",web2,"[23, 28]"
8b1f28b1-c896-43af-a134-a5c5e21ebfe5,Die beruhigende Maske von Avril wurde speziell für empfindliche Hauttypen entwickelt.,web2,"[16, 21]"
c7e90d4d-e5e0-4c26-ae9f-d1e8a9c9f645,"Kräfte, die in den Schatten gehen mussten, die beschäftigen mich, seit wir vor einem Jahr die Schattenkraft gerufen haben für die Maske des Jahres.",web2,"[130, 135]"
7357580e-18f7-4ba5-89d8-5e9a03c2b986,Genau diese Pflanzen sind auch in der Maske enthalten und sollen die Haut reinigen.,web2,"[38, 43]"
44949207-cf5c-41be-9de2-d608610d1c18,"Sogar die hochgezogene Augenbraue hab’ ich gezeichnet, wie sie später Enricos Maske hatte.”",web2,"[78, 83]"
dd394cef-0fb4-4af0-aba7-6bf13ec174ce,"Frettchenfarben Erstellt: Samstag, 13. März 2010 19:03 Zugriffe: 11048 tiefschwarzes Grannenhaar graue bis dunkle Unterwolle es darf keine Maske vorhanden sein, lediglich ein heller Schatten über den Augen ist erlaubt Ohrrundungen weiß abgegrenzt rundes weißes Kinn von der Nase bis zum Mundwinkel Augen schwarz Nase schwarz Tweet images/stories/farben/blackself.jpg{/rokbox} tiefschwarzes Grannenhaar graue bis dunkle Unterwolle es darf keine Maske vorhanden sein, lediglich ein heller...}",web2,"[139, 144]"
3836e7c6-77a2-449e-9d02-7151fac15fdb,Bei der Darstellung des alten und etwas dicklichen Mannes hat die Maske präzise Arbeit geleistet (was eventuell die schwache Maske bei Tolson und Hoovers Sekräterin Helen erklären könnte).,web2,"[66, 71]"
41c23e45-ad31-4c3d-937e-dd5c82151fbb,Heilerde Maske selber machen - Schluss mit Pickeln!,web2,"[9, 14]"
fa1912bf-6c11-427c-86ef-d67743a9ce42,"Heute erscheint eine neue Folge der „Gruselkabinett„-Hörspielreihe, sie trägt den Titel „Die Maske des roten Todes„.",web2,"[93, 98]"
9499f612-4114-43af-ab52-02fc16000dda,12:30 Uhr Mara Lang: Masken Bringen die Masken Schönheit oder Verderben?,web2,"[21, 26]"
cdb9229d-39d1-4db7-9f9a-a4e98ad1ade1,Die nötigen Informationen kann man über eine generische Maske einmalig eingeben.,web2,"[56, 61]"
d962921a-4f5d-45e4-8663-bd8f2d1e5117,"Die Artikel sind jeweils in der Größe von ca. 1cm x 1cm x 1cm mit verschiedenen Motiven: Stern, Delphin, Würfel, Blumen, Masken",web2,"[121, 126]"
455e6bc5-3fef-47fe-a074-a98447ef939c,Mit schön viel Farbe und besonders lustigen Designs sind Clown Masken eine super Kostümidee für Kindern!,web2,"[63, 68]"
807cad82-7b34-4483-bbf2-6bd98069ce17,"Die Maske riecht angenehm nach Honig, fühlt sich frisch auf meiner Haut an und hat eine gelb-bräunliche Farbe.",web2,"[4, 9]"
1f71d3e0-e811-4bb7-9679-918d02cd04e0,seine Maske.,web2,"[6, 11]"
3355877e-2127-435f-86f3-4f42b116c7e5,"Schade ist nur, dass man die Mimik hinter der Maske nur erahnen kann.",web2,"[46, 51]"
35faa052-c5a7-4754-ad12-a1b3ec5239c6,"Ja, hinter dieser Maske können wir uns nicht mehr verstecken……",web2,"[18, 23]"
ba08e500-b703-4e86-a30e-3f4640821b65,"Leider war der kleine Stand im Ludwig Beck nur zum Frisieren ausgerichtet, sodass ich die True Colour ’shiny silver‘ Maske leider nicht ausprobieren konnte.",web2,"[117, 122]"
0ed8a3bf-cad6-413d-840d-a322f5ec3f61,Ideal als Maske für die Lippen,web2,"[10, 15]"
e770c81b-b89c-4c88-9375-794264c4a0c8,"In nur 10 Minuten repariert die Maske Strukturschäden, verleiht natürlichen Glanz und schützt vor Umwelteinflüssen.",web2,"[32, 37]"
f7df42d1-63fa-453a-8a61-2983bff7382e,"♦ Douceur d’Huiles mit Oliven- und Kleieöl Shampoo und Maske pflegen widerspenstiges, krauses Haar, sorgen für den gewünschten Anti-Frizz-Effekt.",web2,"[55, 60]"
ea498f97-d094-45d4-aa10-dd13f90b8d83,"Ein Rechtsstaat, dem die famose Kolumnistin des Tagesspiegels, Hatice Akyün, am 21.9.2012 dankenswerter Weise die Maske vom Gesicht gerissen hat.",web2,"[114, 119]"
52e023df-a16e-4133-a146-91dc31832740,Die gesamte Operettenwelt von „Maske in Blau“ über „Die Fledermaus“ bis hin zum „Land des Lächelns“ wurde mir zwangsläufigerweise eingetrichtert.,web2,"[31, 36]"
255aaf0c-0130-4ab0-a061-4cda4bfe068c,"Aber im Scharfzeichner bin ich jeden Tag und frage nich, wann der USM so Dinge bekommt, wie: Weichzeichnung für den Schwellenwert oder eine anzeigbare Maske für die Schärfung.",web2,"[151, 156]"
