,text,label,span
idx,,,
d66292e2-5ab1-4215-b064-b2a989e2d8ec,"Die erste Software nutzte ein „Convolutional Neural Network“ (CNN), eine Variante des maschinellen Lernens, um die Bilder auf Muster hin zu analysieren.",corona,"[73, 81]"
f9db0a08-30e8-4da4-a712-f9329826147a,Es gibt zwei Varianten:,corona,"[13, 21]"
3f71aee3-94f6-4285-a867-ae27a12a41a5,"Sie müsse eine besonders aggressive Variante des Coronavirus abbekommen haben, sagte Salomon – allerdings gibt es, soweit bislang bekannt, keine wissenschaftlichen Hinweise darauf, dass solche besonders aggressiven seltenen Virusvarianten existieren.",corona,"[36, 44]"
6697603c-851f-4d19-a560-b28c73afe726,"Hier gibt es zwei Varianten: Erhält Tjarks nur die Verkehrsbehörde, könnten die Grünen fünf statt bislang drei Behörden bekommen, da keines der aus SPD-Sicht wichtigen Ressorts (Finanzen, Inneres, Soziales und Wirtschaft) darunter ist.",corona,"[18, 26]"
c84a067f-8621-4e0d-b453-45e44d513fd0,Neben Chromosom 9 lokalisierten die Molekularbiologen eine noch höhere Effektstärke für eine genetische Variante auf Chromosom 3.,corona,"[104, 112]"
366759b3-ae88-452e-9dca-fde00b6642aa,"Das unterscheide die neue Variante des Coronavirus von dem eng verwandten Sars-Erreger, der die Pandemie 2002/2003 ausgelöst hatte.",corona,"[26, 34]"
740ca8d8-ff98-4cf0-8ee9-a51c39762e8e,Da bräuchte es die jetzt möglich erscheinende biologische Variante eigentlich nicht mehr.,corona,"[58, 66]"
103c2cbf-57c1-49b1-9deb-81a7a45977cd,Unterschieden werden vier Varianten des Dengue-Fiebers.,corona,"[26, 34]"
d50617c4-88af-4654-b693-f8c8494428cb,"Das Wochenende bot ein Beispiel für die Variante ""Hohes Risiko"".",corona,"[40, 48]"
02ec5a20-fe10-49cf-adb7-5f71da6a0a4a,"Das ist die sicherste Variante, um wirklich dafür zu sorgen, dass der Virus nicht weiter übertragen wird.",corona,"[22, 30]"
be97b4a5-7b19-4a5b-b243-0c1813231278,"In der Vergangenheit seien alle drei Varianten günstig gewesen, die Banken hätten sich gegenseitig unterboten.",corona,"[37, 45]"
acbfe139-a771-45e4-ab4b-a52ab5153354,Rücksichtnahme auf religiöse Empfindlichkeit ist keine Selbstzensur und Macrons Variante von Laizismus kein universeller Wert.,corona,"[80, 88]"
