,text,label,span
idx,,,
4770051b-c60b-421b-a568-6b9b4e67af22,Als erste deutsche Millionenstadt beschloss München am Montag Einschränkungen des öffentlichen Lebens und ordnete eine Maskenpflicht in der Innenstadt rund um den zentralen Marienplatz an.,corona,"[95, 100]"
9ac5d6e6-6bc4-402b-b464-55042a4e71f0,"„So retten wir Leben“, sagte Merkel.",corona,"[15, 20]"
f45de0ac-798e-4c1c-8cfd-9e326a622c7d,Seit Anfang März hat das Coronavirus das Leben in Europa sukzessive lahmgelegt.,corona,"[41, 46]"
94309dcf-5ff3-4dfe-af90-1cf52b6df3e5,"AfD-Fraktionschefin Alice Weidel kritisierte, die Beschlüsse griffen erneut tief ins Leben und die Rechte von Bürgern und Unternehmen ein.",corona,"[85, 90]"
80d0f9e1-2449-4844-8a2c-b1dc9f1bdc09,"So ist das Leben“, sagte Bolsonaro.",corona,"[11, 16]"
5b15f794-d9ed-492a-90e8-3b8b3be5a6d0,Am vergangenen Wochenende hatten Tausende Menschen in vielen Städten Deutschlands gegen die Beschränkungen des privaten und öffentlichen Lebens im Kampf gegen die Corona-Pandemie demonstriert.,corona,"[137, 142]"
21854568-f023-4e3b-9d65-4782d3bab5f0,Auch der baden-württembergische Ministerpräsident Winfried Kretschmann (Grüne) hält eine Debatte über eine Aufhebung der Einschränkungen des öffentlichen Lebens für zu früh.,corona,"[154, 159]"
d3b4daf6-c072-4a03-aea8-1cf4ba0c8ec1,"„Wir wissen heute noch nicht, wie lange wir das öffentliche Leben beschränken müssen“, sagt er am Freitag.",corona,"[60, 65]"
73ad266c-71ba-4f61-becd-79daee354e3e,Damit kam das öffentliche Leben für die große Mehrheit der rund 330 Millionen Amerikaner zum Erliegen.,corona,"[26, 31]"
99a04f6d-b138-4817-88c4-edb0f61aed06,Mehr:Die Bundesregierung entscheidet über das Leben in der Coronapandemie während der Feiertage.,corona,"[46, 51]"
e3a8d2c7-bd53-499a-ade0-f277e4016f02,"Ziel sei aber, „so viel wie möglich vom öffentlichen und privaten Leben aufrecht zu erhalten“.",corona,"[66, 71]"
11ca7073-0f8f-46e9-8e01-4a86639fb13b,"Mit mehr Frauen in Spitzenfunktionen wäre das Leben mit Corona ein anderes: lebenswerter, familienfreundlicher und solidarischer.",corona,"[46, 51]"
af1e607b-8a9e-429f-8760-0eafb0b801ae,"So verglich er am 9. März in einem Tweet Covid-19 mit einer Grippe und betonte, „das öffentliche Leben und die Wirtschaft werden weitergehen“.",corona,"[97, 102]"
229a6768-4fdf-4b91-99f3-e86ee6a09fa7,"„Jeder Monat, den wir bei der Entwicklung des Impfstoffs gewinnen, rettet Leben und bewahrt Existenzgrundlagen“, sagte die Zypriotin.",corona,"[74, 79]"
7d20ee26-65ed-4bec-b56a-0a8a4931de69,Die Corona-Pandemie bestimmt das Leben rund um den Globus.,corona,"[33, 38]"
bc777602-607a-4a1f-addc-7b31d0300163,"Wenn es aber irgendwann anders sein wird, dann wurde davor sehr viel dafür getan, dass das wirtschaftliche Leben wieder anspringen kann.",corona,"[107, 112]"
