,text,label,span
idx,,,
f7aec43d-a821-403a-a7e9-e6eeb631129f,"Eine Modern Art Gallery, eine Praxis für Tier und Mensch,",web2,"[50, 56]"
53ca8f65-3b55-44a6-afae-8889853649d4,Die Menschen die für immer gegangen sind.,web2,"[4, 10]"
15993494-debe-4226-b42f-eb23ec7a435c,"Und dann sehe ich so viele begeisterte Menschen und dazu so viel Polizei, die diese Begeisterung zügeln will.",web2,"[39, 45]"
9a537307-99ce-405a-b58b-08720679a2b2,Aktivisten: Fast 40.000 Menschen 2012 in Syrien getötet,web2,"[24, 30]"
3cfeca75-3187-4780-9c70-48817503b7f6,"Für Menschen mit öliger Haut ist dieses Blotting Paper zu empfehlen, da es günstig ist und den Teint schnell mattiert.",web2,"[4, 10]"
b1266d75-f87a-457d-82d9-f2dee8980d2d,"Fazit Für Menschen mit öliger oder Mischhaut ist dieses Blotting Paper zu empfehlen, da es günstig ist und den Teint schnell mattiert und außerdem ist genug Inhalt drin.",web2,"[10, 16]"
5d74bae6-54c5-4e5c-bb83-83f665ead28e,Menschen mit sehr trockener Haut werden aber meiner Meinung nach nicht zufrieden werden mit dem Produkt.,web2,"[0, 6]"
9150015a-720b-419d-9630-1079ed022dcc,"Für Menschen mit öliger Haut ist dieses Blotting Paper zu empfehlen, da es günstig ist und den Teint schnell mattiert.",web2,"[4, 10]"
b2bfb1d1-35d4-4846-9286-9dc6e1f6a9a4,Wie der Mensch beim eigenen Körper gibt es auch beim Hund beide Extreme in Bezug auf die Behandlung in Sachen Gesundheit oder Wohlbefinden.,web2,"[8, 14]"
575a1ddb-aaa3-4c6e-8dd1-91627a970839,"So mancher Mensch schlägt alle Ratschläge in den Wind, ernährt sich ungesund und wankt ungeimpft und ungeschützt durchs Leben.",web2,"[11, 17]"
36f70b95-ef95-4d71-98f5-0be505a78130,"Auch Essenreste können einen Hund sehr glücklich machen – aber VORSICHT es gibt eine Vielzahl an Nahrungs- und Genußmitteln die “Mensch” erfreuen, aber für “Hund” schlecht verträglich oder gar gefährlich sind.",web2,"[129, 135]"
1b3e4f3c-556c-4dac-bc95-a9e8c7acd18a,"Als Mensch bin ich nunmal ein Gewohnheitstier und freue mich, wenn meine Lieblings-Apps Bestand haben und sich weiterentwickeln.",web2,"[4, 10]"
cce11a54-5c6d-4bcb-b0e5-46ebc422a526,"Dass noch mehr Menschen die digitalen Medien nutzen, um für mehr Transparenz und Demokratie zu sorgen, ist meine Hoffnung.",web2,"[15, 21]"
ebed3afc-1aa2-49d1-9caf-b36727306ae7,"Manch einem Menschen, der mich schon eine Weile mehr oder weniger kennt mag es so erscheinen, dass es ein heftiges Jahr gewesen ist.",web2,"[12, 18]"
0195aff3-bfcf-4660-8e62-c175f967a176,"Und wir haben dadurch einen Menschen kennengelernt, der gut zu uns passt.",web2,"[28, 34]"
6532cad0-ae7e-4414-a097-2d7de3c129f1,"Wir haben das erste Mal in unserem Leben erfahren, dass ein Mensch einfach nur verstehen will, sich in uns hineinfühlen und für uns da sein will.",web2,"[60, 66]"
32926ba4-819f-42e0-a756-c32544ec0f28,"Und wenn ich es mir auch oft nicht wert war, dann war sie es wenigstens, wenigstens das Gefühl, es gibt da jemand, der mich so annimmt, wie es kein Mensch zuvor getan hat.",web2,"[148, 154]"
ebcdb45e-9d5e-4bb2-ae38-98bc57f36e53,"Da habe ich gespürt, dass es möglich ist, zu mir zu finden, den Menschen auszugraben, der ich hätte sein können, hätte ich einen besseren Start in dieses Leben gehabt.",web2,"[64, 70]"
c9ede8ba-e4f8-491d-81b6-da4284384a01,"Wenn der Wände und Türen oder auch Menschen bis in die Form der Knöpfe beschreibt, dann nennst du das objektiv und präzise.",web2,"[35, 41]"
978b3aea-0ada-4e6e-9b05-a0e2bb233d09,"Wenn der Wände und Türen oder auch Menschen bis in die Form der Knöpfe beschreibt, dann nennst du das objektiv und präzise.",web2,"[35, 41]"
2aefc999-59c9-434d-a36e-68aa8812e896,"Ich muss zur Besprechung!Es gibt immer eine gewisse Klientel von Menschen, denen das Internet nicht eine Quelle der Unterhaltung und Information ist, sondern eine Möglichkeit, allen Instinkten, die sonst unter der Zivilisationsdecke schlummern, freien Lauf zu lassen.",web2,"[65, 71]"
fb05ca24-e01f-409b-bfaa-32aefe494508,"@lieber Freizeit, vielen Dank für Deine Worte und Wünsche, ja von lieben Menschen umgeben zu werden und zu sein, das ist für mich das schönste und das wichtigste.",web2,"[73, 79]"
adb77341-a627-4f97-b553-db1d311c5c4f,"Aber auch die Menschen, die mir nicht liegen bzw. denen ich nicht liege, versuche ich immer mit Anstand und Respekt zu begegnen ich hoffe es ist mir auch im Web gelungen, ansonsten bitte ich um Entschuldigung.",web2,"[14, 20]"
8ca4c05c-f964-4c79-9b81-7bfa41ceef4c,Ganz so wie jeder Mensch es für sich entscheidet.,web2,"[18, 24]"
1a4f1438-ba60-4e5e-966d-0d2214af6711,"@lieber Freizeit, vielen Dank für Deine Worte und Wünsche, ja von lieben Menschen umgeben zu werden und zu sein, das ist für mich das schönste und das wichtigste.",web2,"[73, 79]"
701855ba-a4f1-4970-80d8-7c77423f7b6b,"Aber auch die Menschen, die mir nicht liegen bzw. denen ich nicht liege, versuche ich immer mit Anstand und Respekt zu begegnen ich hoffe es ist mir auch im Web gelungen, ansonsten bitte ich um Entschuldigung.",web2,"[14, 20]"
1d0225da-a30f-4f7d-83ef-1fefed4fb0d5,Ganz so wie jeder Mensch es für sich entscheidet.,web2,"[18, 24]"
6d7c9a10-fbdb-4796-bc0b-6171531a5788,Außerdem wollte ich schon lange mal etwas für andere Menschen tun!,web2,"[53, 59]"
7546ea11-63a2-4f7b-a742-12b1fe31bedd,Außerdem wollte ich schon lange mal etwas für andere Menschen tun!,web2,"[53, 59]"
1d98c984-4aee-49d1-a170-30c13a71b9bc,"Meine Ausbildungen Familienaufstellungen, Gewaltfreie Kommunikation, Trauerbegleitung, Trauerreden und vor allem meine Erfahrungen ermöglichen es mir, für andere Menschen in ähnlichen Situationen da zu sein.",web2,"[162, 168]"
2f002c64-6771-4f75-bcbe-ef2ba0c734d3,"Ich bin froh, die liebsten Menschen um mich haben zu können und schätze mich sehr glücklich!",web2,"[27, 33]"
ed386e58-1a56-4bc9-b9a9-b300f957a725,"Oder auf Plan B: durch meine Job habe ich reichlich Kontakt mit erkrankten Menschen, die ja auch gar keine Hemmungen habe im Aufzug oder Vorwartezimmerberreich ungehemmt ihren Sche** zu verteilen.",web2,"[75, 81]"
cd8ed84f-5850-458d-aa26-a253a391e34c,"Bisher hatten wir ja nur über diverse Foren Kontakt und hin und wieder sehe ich es schon als wichtig an, einen Menschen auch mal “in die Augen zu schauen” nur um auch mal den Menschen dahinter, wenn auch nur ansatztweise, zu verstehen.",web2,"[111, 117]"
