,text,label,span
idx,,,
1f09f195-f651-433a-8e43-8c7a47d07558,"„Warum sollen wir Kredite nehmen, deren Tilgung über die EU für uns dann teurer wird?“, fragt man in Paris.",corona,"[1, 6]"
cfbc74ca-cc3e-47e6-9d7d-bdd23197c8d5,Warum wir keinen Urlaub nehmen?,corona,"[0, 5]"
a0c1f82a-9b4a-4b98-beb1-ab3bfeef0f13,"Warum wir nicht Oma und Opa zur Pflicht rufen, also zur Enkelbetreuung hinzuziehen?",corona,"[0, 5]"
3aa2021c-36dd-483f-8e8f-0cf2b56ac475,"Warum der Solardeckel nicht schon längst wie angekündigt aufgehoben wurde, scheint selbst in Berlin niemand so recht zu wissen.",corona,"[0, 5]"
48c4a9ce-0ff8-4266-a051-ce0bc723fdad,"Wie Sie ihr Geld erfolgreich anlegen und warum es auch sinnvoll sein kann, auf die vermeintlichen Verlierer der Krise zu setzen, erklärt Flossbach-von-Storch-Kapitalmarktstratege Thomas Lehr.",corona,"[41, 46]"
6bc679de-9cfe-4d16-8b40-ad7b3ec35dec,"Mehr:Lesen Sie hier, warum die Rettung der Lufthansa in der Coronakrise verschoben wird",corona,"[21, 26]"
94779703-ccf4-451a-ab20-2613f258693c,"Warum gelingt es uns auch in der Zeit nach 2023 nicht, die verlorenen Jahre durch ein entsprechend schnelleres Wachstum auszugleichen?",corona,"[0, 5]"
10acb77f-e7ff-4f4c-9b2a-888ca31a4f0a,"Derjenige, der sich auf höhere Gewalt beruft, muss genau darlegen, wodurch sich die Bauverzögerung ergab und warum er seinen Vertrag nicht erfüllen kann.",corona,"[109, 114]"
3c7075d3-d29f-4728-b610-10d56563068a,Mehr:Ergebnis in 15 Minuten: Warum Corona-Schnelltests die Luftfahrt nicht retten werden,corona,"[29, 34]"
3319c01b-0d15-4e23-83df-5f261ccf89b4,"„Warum eigentlich?“, fragt sie.",corona,"[1, 6]"
e7934e58-50fd-4c1c-9b25-6da09b3dfda6,"Warum produzieren wir dann nicht welches, wenn wir doch dazu in der Lage sind?",corona,"[0, 5]"
5c3443d1-9c29-460d-9386-c7c8243bf01c,"Was Macron zusätzlich zur Weißglut treibt, ist die Anerkennung seiner Landsleute für die Bundesrepublik, die zur Kritik an seiner Regierung wird: Warum gibt es in Deutschland so viel weniger Corona-Tote?",corona,"[146, 151]"
60452a9b-4fcc-4afa-910c-cd7bb0890c65,"Warum so viel mehr Beatmungsgeräte, Masken, Tests?",corona,"[0, 5]"
797320bb-640e-4426-a23f-ac6a1fdedea4,"Mehr:Lesen Sie hier, warum Quantencomputer in Zukunft an Bedeutung gewinnen werden.",corona,"[21, 26]"
c42f21b3-9ec2-49cf-a0df-3aa107c26c57,"Auch wünscht er sich mehr Erklärungen von der Politik: „Warum zum Beispiel dürfen Friseurläden weiter geöffnet bleiben, Fitnessstudios aber müssen schließen?“",corona,"[56, 61]"
c9f283fc-22e2-452f-a71b-1c28361e25f5,"„Der Grund, warum wir die halbe Dosierung genommen haben, ist ein glücklicher Zufall“, sagte Mene Pangalos, Chef der nicht-krebsbezogenen Forschung und Entwicklung bei Astra-Zeneca, der Nachrichtenagentur Reuters.",corona,"[12, 17]"
dc0cfea6-51e7-4815-b70f-9a45f371da01,"Doch das ist nicht der einzige Grund, warum sich der stationäre Handel in der Krise befindet.",corona,"[38, 43]"
408c03cc-878a-4973-b2d2-994a602d77e4,"Warum es so viele Ansteckungen in Italien gebe, wisse sie nicht, das könne mit der Zahl der Tests zusammenhängen, „aber es hätte überall passieren können“.",corona,"[0, 5]"
bebbd178-1eaa-492e-8265-d57b6e4bea83,"„Warum sollen wir denn öffnen, wenn es keine Flüge gibt, mit denen unsere Gäste anreisen können?“",corona,"[1, 6]"
47ffbfff-51eb-42a4-89d6-0a041a431d53,"Dies sei einer der Gründe, warum die Arbeitslosenquote im April in den Staaten der Währungsunion mit 7,3 Prozent nur halb so hoch wie in den USA gewesen sei.",corona,"[27, 32]"
392310c1-787d-42be-96e0-0b12b825adcb,"Mit dem Handelsblatt sprach er über die Gründe, warum Corona die einzelnen Staaten so unterschiedlich heimsucht und ob die neue Seuche für Experten eine Überraschung ist.",corona,"[48, 53]"
beaa3faa-22c2-4323-ad5b-0ba0ce046294,Warum reagierten die Behörden nicht früher?,corona,"[0, 5]"
40304a59-c765-45a7-9589-bf6dc24533db,"Der Bundesverband der Pharmazeutischen Industrie (BPI) erinnert jedenfalls in seiner Stellungnahme zur Strategie daran, warum die Herstellung von herkömmlichen Arzneien fast vollständig nach Asien abgewandert ist: das Kostenargument.",corona,"[120, 125]"
66923462-5717-4604-a612-16da27392830,"Bürgermeister Leftheris Papakalodoukas glaubt zu wissen, warum sie die 16 Stunden lange Fahrt auf sich nehmen: Sie suchen auf Symi Zuflucht vor dem Coronavirus.",corona,"[57, 62]"
00fcc64a-b9a8-4f82-b201-024c77752f14,"Die betroffenen Unternehmen sind allerdings verpflichtet, die ordnungsgemäße Antragstellung „unverzüglich nachzuholen“ und dem BAFA die Umstände mitzuteilen, warum die Auswirkungen der Coronakrise eine fristgerechte Antragstellung unmöglich machten.",corona,"[158, 163]"
