,text,label,span
idx,,,
02217df6-eb32-4bd5-81f3-74db7bc535cb,"Allein der vor einigen Tagen erzielte Kompromiss in Bayern mit Politik und Gaststätten über eine Teilzahlung bei den Betriebsschließungspolicen werde die Branche rund 300 Millionen Euro kosten, schätzt MSK-Geschäftsführer Onnen Siems.",corona,"[109, 112]"
bf8c707d-24a1-4ff6-a8a7-915bf24050f9,"Die Weigerung einer Reihe von Versicherern, Schäden aus der Betriebsschließung bei Lebensmittelbetrieben, Hotels und Gaststätten wegen des Covid-19-Virus zu zahlen, hatte zuvor für harte Kritik bei Kunden und Versicherungsmaklern gesorgt.",corona,"[79, 82]"
3601129d-cbad-4aae-86e3-a89595e477b1,"Die Weigerung einer Reihe von Versicherern, Schäden aus der Betriebsschließung bei Lebensmittelbetrieben, Hotels und Gaststätten wegen des Covid-19-Virus zu zahlen, hatte zuvor für harte Kritik bei Kunden und Versicherungsmaklern gesorgt.",corona,"[79, 82]"
e81870c5-00a5-44e0-8425-7ba0f3cd3fff,Bei anderen Anlageklassen zeigen sich die Spuren ebenfalls deutlich.,corona,"[0, 3]"
c3f2a109-0695-4b89-b3b5-bb30b9448d94,Der breite US-Index S&P 500 setzte bei 3394 Punkten eine neue Bestmarke.,corona,"[35, 38]"
5a0d3fd2-ab6b-41df-a66c-71342e1554b6,"Die Tücke liegt im Detail, denn die EU-Staaten verfolgen bislang unterschiedliche Ansätze bei der Kontaktspeicherung.",corona,"[90, 93]"
7c605b0a-2163-4b75-8782-115ba5584d28,"Deutschland, Italien und etliche andere EU-Staaten arbeiten an dezentralen Lösungen, bei denen die Schlüssel der Kontaktpersonen auf dem Handy selbst gespeichert werden.",corona,"[53, 56]"
9d7f2c32-4c8c-4eb8-b954-6d69b509039c,Zentral gespeichert werden bei diesem Ansatz also nur die Schlüssel der Corona-Infizierten.,corona,"[27, 30]"
4cc7477d-56d6-4334-8715-772117f4a902,"Kliniken und Gesundheitsämter seien besser aufgestellt als im Frühjahr, bei vielen Erkrankten sei nur ein milder Verlauf zu beobachten.",corona,"[72, 75]"
d66a38db-d728-472a-8da5-51a35205ad67,Coesfeld Nach etwa einwöchiger Zwangspause wegen zahlreicher Corona-Infektionen bei Mitarbeitern nimmt das Unternehmen Westfleisch im münsterländischen Coesfeld am Dienstag testweise den Betrieb wieder auf.,corona,"[80, 83]"
c8e7bd28-9f5a-4c31-a186-eafd3016f1d9,Stand Montagabend lagen 279 positive Tests bei rund 1200 Mitarbeitern vor.,corona,"[43, 46]"
32eb3f8f-156f-467f-9c1a-4245547d4467,Dort waren bei 92 von 278 getesteten Personen Coronavirus-Infektionen festgestellt worden.,corona,"[11, 14]"
