,text,label,span
idx,,,
caf95764-0cc4-4e47-bd41-7519a48e3ff9,"Unter den eingeladenen Referenten befinden sich mit dem Virologen Christian Drosten und dem Leiter des Robert Koch-Instituts Lothar Wiehler entscheidende Köpfe der Virus-Bekämpfung in der Bundesrepublik und damit auch grundsätzliche Feindbilder der ""Querdenker"".",corona,"[250, 260]"
23862082-be9a-41d3-855f-e70f8682f125,"Sie bewegt sich derzeit auf dem Niveau der selbst ernannten Querdenker, denen ich einen eigenen Abschnitt gewidmet habe.",corona,"[60, 70]"
294658f6-6b2b-4562-8931-c18ee7c0d98b,"Übrigens scheint es aktuell - in Anbetracht der nicht mehr übersehbaren Corona-Epidemie-Realität, die zunehmend nicht mehr mit den Verschwörungserzählungen der Querdenker in Einklang gebracht werden kann - prominente Absetzbewegungen von den Corona-Leugnern zu geben.",corona,"[160, 170]"
774c63cc-ae6b-4a68-9aff-21ad5e554633,"Unklar, wieso die ""Querdenker"" dennoch vor allem zum Kosmos mobilisieren.",corona,"[19, 29]"
f68c3b2f-d29c-49df-944f-a9dd4ed1934f,"Darf man in Deutschland noch ein “Denker” sein (eine Gattung, für die das Land schließlich einmal berühmt war), oder wird man stufenlos gleich zum “Querdenker”, sobald man nur den Kopf anschaltet?",corona,"[148, 158]"
bba61818-4978-49aa-bb92-b2839e11c757,Die Gruppe der „Querdenker“ grenzt sich öffentlich von Extremisten ab.,corona,"[16, 26]"
2d889dbd-6514-4a72-87d9-8696f6025715,Auch nach den jüngsten Ausschreitungen gehen „Querdenker“ und Corona-Leugner wieder auf die Straße – in Leipzig ohne Genehmigung.,corona,"[46, 56]"
140b5377-1528-44f0-9198-b3aa08c51c06,4. Warum sich Querdenker an Gesichtsmasken abarbeiten?,corona,"[14, 24]"
850526d0-6db3-4fe3-987c-0ef75abc7e48,"Unabhängige Geister - das ich nicht lache, diese Großstadt-Ökos, 'Tierschützer', Anthroposophen, Jesus-Freaks und Anarchisten sind doch keine radikalen Querdenker, die hängen fester in ihren Netzen als jeder Nazi - und das Netz heißt ich-ich-ich-ich-ich bin mindestens der Mittelpunkt der Welt, wenn nicht noch mehr!",corona,"[152, 162]"
1732de67-5eeb-4fe5-8d07-c895b344c974,"Nicht die ganze Bewegung sei extremistisch, dennoch könnten Rechtsextremisten in einzelnen Bundesländern bei den „Querdenkern“ einen bestimmenden Einfluss ausüben.",corona,"[114, 124]"
5d6b0d86-3fac-43fe-bcc7-905b2bd46e93,6. Warum Querdenker unsere Gesellschaft bedrohen,corona,"[9, 19]"
78293564-b2cb-40b9-bad7-028e4f245e9b,"Auch bekannte Wortführer der ""Querdenker"" wie der HNO-Arzt Bodo Schiffmann und Rechtsanwalt Markus Haintz haben über die Sozialen Netzwerke ihr Kommen angekündigt.",corona,"[30, 40]"
f12386b4-7db7-4b92-96aa-47695fc42bf6,Dessen Intendant Ole Baekhoej geriert sich als Querdenker der Szene.,corona,"[47, 57]"
de4f5be1-7250-42e5-b49e-d44d78636780,"Aber man dürfe die Corona-Leugner oder ""Querdenker"" nicht als gleichbleibende Gruppierung betrachten, schrieb Sascha Lobo in seiner jüngsten Kolumne ""Wie die Blitzradikalisierung der Corona-Leugner funktioniert"".",corona,"[40, 50]"
c0a36c7d-4ded-49ab-a670-b66f36e64419,"Vielleicht sollte man es den Querdenkern und Corona-Leugnern einfacher machen: registrieren und dann dürfen sie machen, was sie wollen.",corona,"[29, 39]"
49462841-7086-4254-a794-f72f26b44942,"Bei Querdenkern, Rechtsextremen, Reichsbürgern und Verschwörungstheoretikern mit antisemitischem Hintergrund hört die Toleranz aber auf"", sagte Söder.",corona,"[4, 14]"
31ea2a9f-90df-466b-b6d7-d96936bd1500,Offenbar ist es ein fast unüberwindliches Hindernis für die sogenannten Querdenker sich bei einer Demo eine Maske aufzusetzen und Abstand zu halten.,corona,"[72, 82]"
6e033bf2-32e9-4696-b9ef-d436cd6306ce,"Am Morgen hatte das OVG die Verlegung gekippt, mittags waren schon Tausende ""Querdenker"" in Leipzigs City unterwegs.",corona,"[77, 87]"
bbdd419e-e34f-4c94-9ec0-b964b88de145,"Sein Ex-Rivale und Paypal-Kollege Peter Thiel hat das Glaubensbekenntnis der Querdenker in eine Interviewfrage gefasst, die der Investor angeblich jedem Bewerber stellt:",corona,"[77, 87]"
bf534b17-0d11-4113-a734-d6fb62c1e471,Als Ex-Grünen Politiker stellen ihn die „Querdenker 40“ um Selina Fullert vor.,corona,"[41, 51]"
8e6f72c0-cff8-4be2-8eef-d379cd972f68,Compact-Herausgeber Jürgen Elsässer fragt: „Stürzen Querdenker die Regierung?“,corona,"[52, 62]"
d294a93b-4a2f-46a8-8e56-a30e54ff7fea,5. Warum Querdenker die Pandemie bestreiten,corona,"[9, 19]"
0a546003-5d01-489c-b576-9f34482ed028,"Denn dass die „Querdenker“ Abstände und Mund-Nasen-Schutz ignorieren würden, war tatsächlich klar – es gehört zum Konzept und war bei vorherigen Protesten geübte Praxis.",corona,"[15, 25]"
a0b36a8d-27e1-4c3e-a78d-7d41da320c45,Hinter ihr stimmen hunderte “Querdenker” in diesen merkwürdigen Schlachtruf ein.,corona,"[29, 39]"
815c9e77-13b6-4205-b212-a3d6f3fcd544,Was sind überhaupt “Querdenker”?,corona,"[20, 30]"
080a3a69-0bf6-49c6-8fe6-7deec6990254,"Schon am Freitag soll es mit einer Kundgebung der „Querdenker“ vor dem Brandenburger Tor losgehen, eine weitere „Auftaktkundgebung“ ist vor dem Reichstag geplant, wo seit Tagen Reichsbürger campierten.",corona,"[51, 61]"
a7c350de-2093-4126-bba4-4b5def7d22a5,"Musk zählt zu den „Contrarians“, den Querdenkern, die den Widerspruch gegen den Mainstream zum Prinzip erklärt haben.",corona,"[37, 47]"
26a7c9d8-29be-4c65-9113-8652d1115fa3,ZDFheute:Aber handelt es sich bei den Querdenkern nicht um eine verhältnismäßig kleine Gruppe?,corona,"[38, 48]"
49f911d2-c022-498c-b564-5b1f96a56ccc,Auch ein „Campingplatz für vermeintliche Querdenker und Verschwörungsideologen“ werde man „nicht zulassen“.,corona,"[41, 51]"
8c8cee8e-a516-4a97-8c7e-d3389eaa6ae4,"Wenn der blau-weiß rautierte Innenminister fordert, man sollte auf alle Querdenker den Verfassungsschutz ansetzen, frage ich mich, worin wir uns effektiv eigentlich noch von der DDR, deren Vorgängersystem oder gar dem Preußen des 19. Jahrhunderts unterscheiden (Wobei ich nicht denke, dass die Überwachungsinstrumente der Preußen schon so effektiv waren).",corona,"[72, 82]"
